#V																			     
         -0.06104241          0.99891000          0.99891000              -0.06090100          1.00000000         -0.00109000	-0.060901   0.99891   0.00137
         -0.05891041          0.99882000          0.99882000              -0.05876900          1.00000000         -0.00118000	-0.058769   0.99882   0.00161
         -0.05719741          0.99707000          0.99707000              -0.05705600          1.00000000         -0.00293000	-0.057056   0.99707   0.00126
         -0.05542241          0.99953000          0.99953000              -0.05528100          1.00000000         -0.00047000	-0.055281   0.99953   0.00142
         -0.05376341          1.00133000          1.00133000              -0.05362200          1.00000000          0.00133000	-0.053622   1.00133   0.00138
         -0.05197241          1.00258000          1.00258000              -0.05183100          1.00000000          0.00258000	-0.051831   1.00258   0.00154
         -0.05027941          0.99984000          0.99984000              -0.05013800          1.00000000         -0.00016000	-0.050138   0.99984   0.00127
         -0.04857441          1.00014000          1.00014000              -0.04843300          1.00000000          0.00014000	-0.048433   1.00014   0.00161
         -0.04671341          0.99816000          0.99816000              -0.04657200          1.00000000         -0.00184000	-0.046572   0.99816   0.00136
         -0.04460041          1.00114000          1.00114000              -0.04445900          1.00000000          0.00114000	-0.044459   1.00114   0.00208
         -0.04242141          1.00072000          1.00072000              -0.04228000          1.00000000          0.00072000	-0.042280   1.00072   0.00148
         -0.04076341          1.00023000          1.00023000              -0.04062200          1.00000000          0.00023000	-0.040622   1.00023   0.00222
         -0.03901341          0.99984000          0.99984000              -0.03887200          1.00000000         -0.00016000	-0.038872   0.99984   0.00127
         -0.03762441          1.00064000          1.00064000              -0.03748300          1.00000000          0.00064000	-0.037483   1.00064   0.00116
         -0.03595141          0.99888000          0.99888000              -0.03581000          1.00000000         -0.00112000	-0.035810   0.99888   0.00168
         -0.03453241          0.99905000          0.99905000              -0.03439100          1.00000000         -0.00095000	-0.034391   0.99905   0.00123
         -0.03306541          1.00144000          1.00144000              -0.03292400          1.00000000          0.00144000	-0.032924   1.00144   0.00207
         -0.03145741          1.00069000          1.00069000              -0.03131600          1.00000000          0.00069000	-0.031316   1.00069   0.00115
         -0.02969941          1.00020000          1.00020000              -0.02955800          1.00000000          0.00020000	-0.029558   1.00020   0.00175
         -0.02820041          0.99754000          0.99754000              -0.02805900          0.99989539         -0.00235539	-0.028059   0.99754   0.00134
         -0.02681841          0.99983000          0.99983000              -0.02667700          0.99920349          0.00062651	-0.026677   0.99983   0.00237
         -0.02511041          0.99800000          0.99800000              -0.02496900          0.99779907          0.00020093	-0.024969   0.99800   0.00137
         -0.02373241          0.99650000          0.99650000              -0.02359100          0.99635880          0.00014120	-0.023591   0.99650   0.00175
         -0.02224641          0.99764000          0.99764000              -0.02210500          0.99459505          0.00304495	-0.022105   0.99764   0.00089
         -0.02078741          0.99390000          0.99390000              -0.02064600          0.99272639          0.00117361	-0.020646   0.99390   0.00092
         -0.01941141          0.99143000          0.99143000              -0.01927000          0.99089948          0.00053052	-0.019270   0.99143   0.00031
         -0.01792841          0.98638000          0.98638000              -0.01778700          0.98891747         -0.00253747	-0.017787   0.98638   0.00142
         -0.01647741          0.98882000          0.98882000              -0.01633600          0.98701549          0.00180451	-0.016336   0.98882   0.00110
         -0.01509941          0.98462000          0.98462000              -0.01495800          0.98528338         -0.00066338	-0.014958   0.98462   0.00167
         -0.01361341          0.98563000          0.98563000              -0.01347200          0.98353336          0.00209664	-0.013472   0.98563   0.00156
         -0.01215741          0.98123000          0.98123000              -0.01201600          0.98196731         -0.00073731	-0.012016   0.98123   0.00155
         -0.01078541          0.97991000          0.97991000              -0.01064400          0.98064683         -0.00073683	-0.010644   0.97991   0.00154
         -0.00929941          0.98130000          0.98130000              -0.00915800          0.97940168          0.00189832	-0.009158   0.98130   0.00096
         -0.00770041          0.97569000          0.97569000              -0.00755900          0.97828602         -0.00259602	-0.007559   0.97569   0.00132
         -0.00618041          0.97667000          0.97667000              -0.00603900          0.97744179         -0.00077179	-0.006039   0.97667   0.00126
         -0.00445841          0.97760000          0.97760000              -0.00431700          0.97673203          0.00086797	-0.004317   0.97760   0.00156
         -0.00297941          0.97637000          0.97637000              -0.00283800          0.97631980          0.00005020	-0.002838   0.97637   0.00138
         -0.00136341          0.97415000          0.97415000              -0.00122200          0.97606360         -0.00191360	-0.001222   0.97415   0.00167
          0.00002059          0.97491000          0.97491000               0.00016200          0.97599676         -0.00108676	 0.000162   0.97491   0.00147
          0.00183059          0.97604000          0.97604000               0.00197200          0.97611759         -0.00007759	 0.001972   0.97604   0.00173
          0.00323459          0.97690000          0.97690000               0.00337600          0.97637847          0.00052153	 0.003376   0.97690   0.00106
          0.00498659          0.97990000          0.97990000               0.00512800          0.97692269          0.00297731	 0.005128   0.97990   0.00125
          0.00649559          0.97773000          0.97773000               0.00663700          0.97759974          0.00013026	 0.006637   0.97773   0.00207
          0.00819059          0.97761000          0.97761000               0.00833200          0.97860311         -0.00099311	 0.008332   0.97761   0.00179
          0.00956259          0.97952000          0.97952000               0.00970400          0.97960773         -0.00008773	 0.009704   0.97952   0.00194
          0.01094259          0.98088000          0.98088000               0.01108400          0.98079000          0.00009000	 0.011084   0.98088   0.00146
          0.01276059          0.97980000          0.97980000               0.01290200          0.98259659         -0.00279659	 0.012902   0.97980   0.00180
          0.01417659          0.98304000          0.98304000               0.01431800          0.98418012         -0.00114012	 0.014318   0.98304   0.00080
          0.01573859          0.98925000          0.98925000               0.01588000          0.98607562          0.00317438	 0.015880   0.98925   0.00162
          0.01710759          0.98744000          0.98744000               0.01724900          0.98783403         -0.00039403	 0.017249   0.98744   0.00147
          0.01849359          0.99107000          0.99107000               0.01863500          0.98967101          0.00139899	 0.018635   0.99107   0.00146
          0.02005359          0.99406000          0.99406000               0.02019500          0.99175653          0.00230347	 0.020195   0.99406   0.00101
          0.02142159          0.99284000          0.99284000               0.02156300          0.99355084         -0.00071084	 0.021563   0.99284   0.00258
          0.02281359          0.99373000          0.99373000               0.02295500          0.99528890         -0.00155890	 0.022955   0.99373   0.00108
          0.02449359          1.00217000          1.00217000               0.02463500          0.99718239          0.00498761	 0.024635   1.00217   0.00149
          0.02605259          0.99846000          0.99846000               0.02619400          0.99863574         -0.00017574	 0.026194   0.99846   0.00116
          0.02760059          0.99753000          0.99753000               0.02774200          0.99965607         -0.00212607	 0.027742   0.99753   0.00127
          0.02911159          1.00162000          1.00162000               0.02925300          1.00000000          0.00162000	 0.029253   1.00162   0.00215
          0.03109359          1.00200000          1.00200000               0.03123500          1.00000000          0.00200000	 0.031235   1.00200   0.00199
          0.03286759          1.00355000          1.00355000               0.03300900          1.00000000          0.00355000	 0.033009   1.00355   0.00244
          0.03450059          0.99939000          0.99939000               0.03464200          1.00000000         -0.00061000	 0.034642   0.99939   0.00188
          0.03633359          1.00211000          1.00211000               0.03647500          1.00000000          0.00211000	 0.036475   1.00211   0.00293
          0.03799559          0.99615000          0.99615000               0.03813700          1.00000000         -0.00385000	 0.038137   0.99615   0.00188
          0.03971159          1.00138000          1.00138000               0.03985300          1.00000000          0.00138000	 0.039853   1.00138   0.00203
          0.04148759          0.99919000          0.99919000               0.04162900          1.00000000         -0.00081000	 0.041629   0.99919   0.00182
          0.04325359          1.00037000          1.00037000               0.04339500          1.00000000          0.00037000	 0.043395   1.00037   0.00122
          0.04509859          1.00316000          1.00316000               0.04524000          1.00000000          0.00316000	 0.045240   1.00316   0.00091
          0.04687459          0.99875000          0.99875000               0.04701600          1.00000000         -0.00125000	 0.047016   0.99875   0.00145
          0.04850359          0.99713000          0.99713000               0.04864500          1.00000000         -0.00287000	 0.048645   0.99713   0.00152
          0.05035059          0.99863000          0.99863000               0.05049200          1.00000000         -0.00137000	 0.050492   0.99863   0.00132
          0.05240859          0.99793000          0.99793000               0.05255000          1.00000000         -0.00207000	 0.052550   0.99793   0.00183
          0.05456259          0.99837000          0.99837000               0.05470400          1.00000000         -0.00163000	 0.054704   0.99837   0.00082
          0.05679159          0.99888000          0.99888000               0.05693300          1.00000000         -0.00112000	 0.056933   0.99888   0.00132
          0.05958259          0.99903000          0.99903000               0.05972400          1.00000000         -0.00097000	 0.059724   0.99903   0.00124
																			     
																			     
#R																			     
         -0.09495599          0.99983000          0.99983000              -0.09495300          1.00000000         -0.00017000	-0.094953   0.99983   0.00030
         -0.08610999          1.00026000          1.00026000              -0.08610700          1.00000000          0.00026000	-0.086107   1.00026   0.00050
         -0.07821699          0.99971000          0.99971000              -0.07821400          1.00000000         -0.00029000	-0.078214   0.99971   0.00041
         -0.07318999          1.00051000          1.00051000              -0.07318700          1.00000000          0.00051000	-0.073187   1.00051   0.00048
         -0.06939699          0.99978000          0.99978000              -0.06939400          1.00000000         -0.00022000	-0.069394   0.99978   0.00039
         -0.06543399          0.99981000          0.99981000              -0.06543100          1.00000000         -0.00019000	-0.065431   0.99981   0.00056
         -0.06247599          1.00066000          1.00066000              -0.06247300          1.00000000          0.00066000	-0.062473   1.00066   0.00068
         -0.05956299          0.99960000          0.99960000              -0.05956000          1.00000000         -0.00040000	-0.059560   0.99960   0.00052
         -0.05658799          1.00033000          1.00033000              -0.05658500          1.00000000          0.00033000	-0.056585   1.00033   0.00077
         -0.05361999          0.99985000          0.99985000              -0.05361700          1.00000000         -0.00015000	-0.053617   0.99985   0.00053
         -0.05065699          0.99994000          0.99994000              -0.05065400          1.00000000         -0.00006000	-0.050654   0.99994   0.00048
         -0.04856199          0.99939000          0.99939000              -0.04855900          1.00000000         -0.00061000	-0.048559   0.99939   0.00047
         -0.04622799          1.00041000          1.00041000              -0.04622500          1.00000000          0.00041000	-0.046225   1.00041   0.00062
         -0.04428399          1.00000000          1.00000000              -0.04428100          1.00000000          0.00000000	-0.044281   1.00000   0.00051
         -0.04209699          1.00108000          1.00108000              -0.04209400          1.00000000          0.00108000	-0.042094   1.00108   0.00023
         -0.03987099          1.00034000          1.00034000              -0.03986800          1.00000000          0.00034000	-0.039868   1.00034   0.00069
         -0.03767099          1.00015000          1.00015000              -0.03766800          1.00000000          0.00015000	-0.037668   1.00015   0.00017
         -0.03557699          0.99930000          0.99930000              -0.03557400          1.00000000         -0.00070000	-0.035574   0.99930   0.00051
         -0.03338299          0.99979000          0.99979000              -0.03338000          1.00000000         -0.00021000	-0.033380   0.99979   0.00047
         -0.03127599          0.99960000          0.99960000              -0.03127300          1.00000000         -0.00040000	-0.031273   0.99960   0.00039
         -0.02906199          0.99946000          0.99946000              -0.02905900          1.00000000         -0.00054000	-0.029059   0.99946   0.00069
         -0.02703199          0.99909000          0.99909000              -0.02702900          0.99925478         -0.00016478	-0.027029   0.99909   0.00031
         -0.02482099          0.99708000          0.99708000              -0.02481800          0.99727866         -0.00019866	-0.024818   0.99708   0.00068
         -0.02268999          0.99452000          0.99452000              -0.02268700          0.99476559         -0.00024559	-0.022687   0.99452   0.00070
         -0.02057199          0.99187000          0.99187000              -0.02056900          0.99195604         -0.00008604	-0.020569   0.99187   0.00036
