################################# NEW ################################################
#mjd#       #iA      #iB      #mjd#       #rA      #rB      #mjd#       #vA      #vB    
????????    ?????    ?????    54660.37    16.46    18.97    54660.37    16.75    19.25    
????????    ?????    ?????    54660.38    16.47    18.98    54660.38    16.75    19.19    
????????    ?????    ?????    54660.39    16.43    19.09    54660.39    16.74    19.20    
????????    ?????    ?????    54674.35    16.46    19.04    54674.34    16.77    19.08    
????????    ?????    ?????    ????????    ?????    ?????    54674.35    16.77    19.09    
????????    ?????    ?????    ????????    ?????    ?????    54674.35    16.78    19.08    
54675.39    16.26    18.76    54675.37    16.48    19.01    ????????    ?????    ?????    
54675.39    16.26    18.75    ????????    ?????    ?????    ????????    ?????    ?????    
54675.39    16.26    18.74    ????????    ?????    ?????    ????????    ?????    ?????    
54677.38    16.29    18.79    ????????    ?????    ?????    54677.37    16.80    19.06    
54677.39    16.28    18.80    ????????    ?????    ?????    54677.38    16.77    19.09    
54677.39    16.28    18.75    ????????    ?????    ?????    54677.38    16.80    19.12    
54681.37    16.32    18.91    54681.35    16.52    19.10    54681.34    16.78    19.11    
54681.38    16.33    18.92    ????????    ?????    ?????    54681.35    16.77    19.08    
54681.38    16.34    18.94    ????????    ?????    ?????    54681.35    16.78    19.11    
????????    ?????    ?????    54708.29    16.51    19.06    ????????    ?????    ?????    
????????    ?????    ?????    54729.33    16.39    18.98    ????????    ?????    ?????    
????????    ?????    ?????    54729.33    16.39    19.03    ????????    ?????    ?????    
54730.30    16.31    18.88    ????????    ?????    ?????    ????????    ?????    ?????    
54730.31    16.28    18.85    ????????    ?????    ?????    ????????    ?????    ?????    
54730.31    16.31    18.92    ????????    ?????    ?????    ????????    ?????    ?????    
                                    
                                    
55066.31    16.35    18.87    55066.32    16.56    19.10    ????????    ?????    ?????    
????????    ?????    ?????    55066.32    16.56    19.17    ????????    ?????    ?????    
????????    ?????    ?????    55066.33    16.56    19.10    ????????    ?????    ?????    
55067.39    16.28    18.78    55067.41    16.57    19.11    55067.40    16.85    19.17    
????????    ?????    ?????    55067.41    16.57    19.11    ????????    ?????    ?????    
????????    ?????    ?????    55067.41    16.56    19.13    ????????    ?????    ?????    
55068.38    16.34    18.87    55068.40    16.61    19.15    55068.39    16.90    19.21    
55068.38    16.35    18.94    55068.40    16.60    19.13    55068.39    16.90    19.21    
55068.38    16.36    18.88    55068.40    16.60    19.16    55068.39    16.90    19.20    
55070.34    16.36    18.94    55070.35    16.59    19.10    55070.35    16.91    19.23    
????????    ?????    ?????    55070.36    16.59    19.11    55070.35    16.88    19.20    
